period,region,demand,lag_1,lag_7,lag_14
2025-05-01,Bronx,87491,,,
2025-05-01,Brooklyn,170991,,,
2025-05-01,EWR,0,,,
2025-05-01,Manhattan,258993,,,
2025-05-01,Queens,145882,,,
2025-05-01,Staten Island,11351,,,
2025-05-02,Bronx,100552,87491.0,,
2025-05-02,Brooklyn,197390,170991.0,,
2025-05-02,EWR,0,0.0,,
2025-05-02,Manhattan,276481,258993.0,,
2025-05-02,Queens,158155,145882.0,,
2025-05-02,Staten Island,12592,11351.0,,
2025-05-03,Bronx,96199,100552.0,,
2025-05-03,Brooklyn,235605,197390.0,,
2025-05-03,EWR,0,0.0,,
2025-05-03,Manhattan,303993,276481.0,,
2025-05-03,Queens,156016,158155.0,,
2025-05-03,Staten Island,11335,12592.0,,
2025-05-04,Bronx,78386,96199.0,,
2025-05-04,Brooklyn,202929,235605.0,,
2025-05-04,EWR,0,0.0,,
2025-05-04,Manhattan,232571,303993.0,,
2025-05-04,Queens,147964,156016.0,,
2025-05-04,Staten Island,8631,11335.0,,
2025-05-05,Bronx,87954,78386.0,,
2025-05-05,Brooklyn,165239,202929.0,,
2025-05-05,EWR,0,0.0,,
2025-05-05,Manhattan,244223,232571.0,,
2025-05-05,Queens,149438,147964.0,,
2025-05-05,Staten Island,10406,8631.0,,
2025-05-06,Bronx,81083,87954.0,,
2025-05-06,Brooklyn,152576,165239.0,,
2025-05-06,EWR,0,0.0,,
2025-05-06,Manhattan,252800,244223.0,,
2025-05-06,Queens,136467,149438.0,,
2025-05-06,Staten Island,10216,10406.0,,
2025-05-07,Bronx,82265,81083.0,,
2025-05-07,Brooklyn,155969,152576.0,,
2025-05-07,EWR,0,0.0,,
2025-05-07,Manhattan,248398,252800.0,,
2025-05-07,Queens,138206,136467.0,,
2025-05-07,Staten Island,10497,10216.0,,
2025-05-08,Bronx,87891,82265.0,87491.0,
2025-05-08,Brooklyn,171143,155969.0,170991.0,
2025-05-08,EWR,1,0.0,0.0,
2025-05-08,Manhattan,265929,248398.0,258993.0,
2025-05-08,Queens,143312,138206.0,145882.0,
2025-05-08,Staten Island,11292,10497.0,11351.0,
2025-05-09,Bronx,102531,87891.0,100552.0,
2025-05-09,Brooklyn,209621,171143.0,197390.0,
2025-05-09,EWR,0,1.0,0.0,
2025-05-09,Manhattan,293240,265929.0,276481.0,
2025-05-09,Queens,170204,143312.0,158155.0,
2025-05-09,Staten Island,12443,11292.0,12592.0,
2025-05-10,Bronx,95353,102531.0,96199.0,
2025-05-10,Brooklyn,219695,209621.0,235605.0,
2025-05-10,EWR,0,0.0,0.0,
2025-05-10,Manhattan,279309,293240.0,303993.0,
2025-05-10,Queens,163637,170204.0,156016.0,
2025-05-10,Staten Island,11521,12443.0,11335.0,
2025-05-11,Bronx,91046,95353.0,78386.0,
2025-05-11,Brooklyn,197032,219695.0,202929.0,
2025-05-11,EWR,0,0.0,0.0,
2025-05-11,Manhattan,228813,279309.0,232571.0,
2025-05-11,Queens,158434,163637.0,147964.0,
2025-05-11,Staten Island,9454,11521.0,8631.0,
2025-05-12,Bronx,76706,91046.0,87954.0,
2025-05-12,Brooklyn,141486,197032.0,165239.0,
2025-05-12,EWR,0,0.0,0.0,
